"x","y"
3125,8047
3413,8800
2662,7626
2941,8117
2619,7560
3543,7523
3526,7819
3586,8040
3363,8042
2534,8744
3163,8121
3274,7756
2656,8351
2753,8099
2527,8515
2859,7641
2846,7919
3725,8064
2748,8183
3550,8175
3151,9054
2738,8330
2955,8096
3796,7648
2756,8512
2723,8162
3240,7938
2850,7563
3466,7986
3818,8239
3206,8087
3370,8408
3112,7525
2879,7815
2757,7696
3156,8127
3059,7611
3255,8229
3779,8573
3152,7933
3318,7807
3016,8080
3242,7503
3119,7534
2972,7785
2843,7594
2572,8314
3876,7638
3378,8064
2838,7834
4078,7875
3134,7852
3752,8127
2915,8168
3232,8244
3562,8181
2869,8018
2654,8477
2913,7752
2566,8328
3396,7786
2828,7836
3404,8102
2697,7543
2753,7763
2922,8139
3343,8217
3082,7877
3746,8044
2780,8229
2680,8057
3339,8359
2784,7939
4144,7796
3596,8370
3488,8525
3546,8166
3876,8104
2633,7951
3090,9066
3553,8138
3428,7942
3611,7778
4101,7839
3309,8239
2885,8283
2959,8071
2880,7504
3706,7661
2954,7761
2876,7639
2538,8204
2711,8158
2676,8049
3134,8094
3685,7857
3185,8207
3587,8020
2598,8157
2699,7530
2536,8391
2658,7928
3659,7642
3804,7666
3123,7891
2808,8572
3526,8316
2671,8147
3334,7886
2529,8211
2767,8230
2577,8333
2592,7558
3140,7861
2731,8083
2835,7871
3110,8021
3000,7676
2638,7554
2806,8308
3239,7744
2665,7547
2795,7948
2853,7907
2537,8267
3362,7559
2683,8158
3616,8274
3346,7887
2969,8277
2930,8113
3249,8038
2786,7960
3128,7576
3553,8872
3181,7635
3546,8324
2743,7751
3561,8910
3330,7904
3874,7657
3626,8065
3714,8055
3171,8323
2764,7777
3090,7565
2710,7911
3300,7804
2730,8101
2563,9047
3012,7958
2717,8084
3903,7946
3718,8135
3974,8086
3469,7954
3192,7746
3518,8303
3060,7683
2682,8066
3176,7782
3225,8236
3976,8038
2586,8150
2666,7506
3471,7581
2550,8774
3811,7881
2976,9018
3319,7665
2680,8917
2695,7725
3690,7657
2709,7742
3300,7991
4082,7919
2730,7763
3741,8314
4188,8074
3338,8065
3230,7668
2953,8308
3544,8143
2647,8357
3581,8275
3314,7799
3044,7678
2820,7861
3390,8186
4040,7695
2904,8143
3763,7887
3005,8379
2547,8228
2584,8173
3178,7732
3587,7576
2843,8057
2916,7781
2760,8428
3076,7585
3801,8097
3063,7671
2641,8113
3076,7561
3102,8296
3063,8334
3548,8038
3198,8522
2675,8164
3705,7854
3487,7969
3345,7901
3064,7819
2691,7555
2564,8174
3930,8511
2858,7580
2763,8375
3307,8719
2608,8167
2593,8341
2619,8147
3055,7531
2993,8045
2834,7853
2973,8483
2906,8158
3087,7656
2763,8689
3045,7962
2693,7514
2621,7534
3357,8036
2912,8118
2956,8760
3386,8198
2937,8074
2779,8446
2691,8156
3218,7984
3489,7912
2679,8351
2860,7926
3127,7513
3688,9020
2874,7546
2804,7721
3542,7820
2687,7948
4240,8327
3801,8682
2552,8319
3576,8157
3057,8064
4089,7887
3024,7780
3218,7666
3555,8008
3251,7987
2717,7731
3763,8038
3428,8292
3118,8057
2877,8011
3071,7757
2758,8404
2735,7648
4044,7911
3428,7956
3628,8046
2789,7756
3158,7749
2714,8094
3217,8527
2626,8345
2572,7525
4033,7665
2863,8038
2829,8124
2733,8512
2723,7661
3141,7997
2540,8192
3293,8660
3273,7696
3015,8150
3267,7998
2837,7549
2949,7984
3150,7630
3322,7682
3821,8266
2860,8281
3120,8017
3874,8480
2770,7939
3339,8241
2674,8474
2842,7910
3097,7617
3502,7996
3038,8596
3407,7875
2689,8056
3056,7930
3881,8723
3327,7831
3403,7762
3810,8262
2879,7943
3108,7780
4039,7640
4142,8297
2748,8114
2609,8506
3452,7991
3004,7768
2585,8320
2719,7710
3160,7722
3824,8299
3336,7846
2643,8146
3067,7943
3122,7871
3341,8391
3106,7735
2881,8144
3202,7765
3340,7664
3109,7765
3366,7582
3231,7686
2958,7675
2823,7708
2884,7799
2999,7965
2558,7533
3133,8342
3070,7615
3859,8727
2797,8128
3560,8239
2698,8062
2628,8492
3139,7755
2674,7516
3395,8170
3560,7542
2630,8139
2673,8331
3228,7740
3718,8067
2721,7688
2997,8108
2754,8300
3390,7712
2930,7970
3204,8074
2701,8164
3552,7531
2778,8120
2961,8318
2929,7690
2970,7755
3328,7918
2737,8175
2653,7901
2865,7648
3099,7835
3122,8744
2681,7717
2640,7521
3184,7674
3025,7816
2658,7566
2943,7771
3306,7792
2871,7781
3964,8013
3569,8125
3463,8294
2687,7932
2630,8936
3771,8318
3334,7867
2506,8529
3161,8977
3601,8045
2948,8081
2658,7537
3084,7645
2621,7575
4181,8032
2888,7898
3166,7660
2837,7894
2766,7679
3504,7826
3634,8095
2715,7929
3642,7855
2917,8196
3486,8015
3429,7800
2893,7766
3106,7809
3970,8116
3573,8547
3098,8172
2903,8288
2870,7936
2887,9033
2925,7655
3439,8184
2653,7553
2863,7828
2525,8405
3776,7872
2740,7786
3316,7588
4099,8458
3652,9063
3887,7603
3597,7864
2685,7532
2701,7708
3764,8289
2531,8224
3205,7683
4067,8498
3617,8049
3186,7992
2657,8067
3093,7790
3342,8408
2562,7509
2765,8276
2745,8725
2635,7969
3143,7724
3598,7591
3114,7835
2877,7654
2842,7537
2745,7671
3326,8012
2939,8528
3355,8410
2851,8002
2847,8118
3211,7734
2542,8406
3212,8191
3329,7644
3739,8289
4038,8081
3822,8473
3663,8048
3637,9012
3002,7510
2917,7962
3003,8506
2855,7521
3549,8277
3648,9045
2802,7982
3122,7554
2571,8161
2746,8079
3461,7968
3921,8131
2600,8328
2870,7559
3375,7752
3474,8014
3958,8106
3088,7630
3587,8945
2665,7527
3386,8012
3383,8077
2765,8290
3954,8127
2767,8149
2783,7771
3271,8230
2921,8215
3017,7765
2739,8311
2881,8055
3352,8341
2832,7561
2863,8058
3525,8541
3562,7515
3358,9054
3838,8778
2931,8229
3830,8278
3079,8352
3398,8145
3109,9067
2929,8088
3365,7739
3142,9038
2848,7625
2826,8013
3079,8109
2619,8699
3168,9017
2836,8274
3653,9022
4098,8486
2907,8129
2645,7536
3572,7874
3481,7538
2976,8980
4057,8516
3141,7925
3333,8027
3201,8056
2648,7508
3233,7991
2859,7795
2908,8109
2845,7985
2891,7955
2792,8471
2658,7947
2949,8055
3440,7819
3121,7803
2651,8704
2786,8706
3123,7722
3368,7714
3446,7977
2839,8508
2800,8111
3143,8110
2905,7679
2869,8073
2608,7519
3307,7933
3339,7521
2591,7540
4017,8473
3468,7896
2938,8140
3836,8698
3233,8555
3023,8057
3772,8084
3539,8185
3532,8219
3125,9051
3370,8971
2755,7658
3040,7801
2512,8347
3779,8768
3366,9026
3574,7586
3168,7741
3018,8380
4096,7906
4213,8320
3064,8532
4049,7664
3574,7568
3781,8471
4011,7628
2717,7680
3137,7627
3198,7801
3522,7828
3138,7614
3178,8319
3168,9046
3861,8683
3491,7621
3426,7928
4139,8562
2573,8628
3478,8520
4252,8170
4232,7797
3082,7900
2637,8912
3540,7537
2692,7685
2854,8266
3416,8958
2957,8268
3826,8670
4262,8239
2632,7567
3075,8697
3327,7816
3900,8706
2726,7913
3947,8724
4212,8108
3600,9051
2581,7508
2815,8123
4191,7798
2800,9005
4156,8329
2575,8554
